                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.97407,                0.94922,                 1.3649,                0.76454,                0.69339,                0.72741,                0.56901,                0.91371,                0.66443,                 1.2921,              0.0088986,              0.0088986,              0.0088986
                     92,                 0.9705,                0.95992,                  1.362,                0.77104,                0.67592,                0.72692,                0.57326,                0.90952,                0.65808,                 1.2859,              0.0088863,              0.0088863,              0.0088863
                     93,                0.96528,                0.95014,                 1.3513,                0.76544,                 0.6883,                0.72692,                0.56851,                0.90973,                0.66427,                 1.2851,              0.0088739,              0.0088739,              0.0088739
                     94,                0.96884,                0.94484,                 1.3612,                 0.7475,                 0.6921,                0.72815,                0.56969,                0.90366,                0.65737,                 1.2836,              0.0088615,              0.0088615,              0.0088615
                     95,                0.96192,                0.93592,                 1.3543,                0.77187,                0.68185,                0.72748,                0.57285,                0.90399,                0.65405,                 1.2841,              0.0088491,              0.0088491,              0.0088491
                     96,                0.96601,                0.94259,                 1.3582,                0.74232,                0.68781,                0.72551,                0.57297,                0.90417,                0.64798,                 1.2807,              0.0088368,              0.0088368,              0.0088368
                     97,                0.95346,                 0.9413,                 1.3479,                0.72145,                0.75774,                0.73451,                0.57873,                0.90554,                 0.6488,                  1.283,              0.0088244,              0.0088244,              0.0088244
                     98,                0.96216,                0.92951,                 1.3467,                0.74124,                0.75362,                0.73876,                0.58161,                0.90497,                0.65531,                 1.2756,               0.008812,               0.008812,               0.008812
                     99,                0.95687,                0.94241,                 1.3481,                0.77603,                0.68362,                0.73089,                0.57855,                0.89337,                0.65453,                 1.2703,              0.0087996,              0.0087996,              0.0087996
                    100,                0.95641,                0.93484,                   1.35,                0.78402,                0.68594,                0.73073,                0.58232,                0.89276,                0.64945,                 1.2699,              0.0087872,              0.0087872,              0.0087872
                    101,                0.94948,                0.91582,                 1.3402,                0.76151,                0.69943,                0.72547,                0.57856,                0.89529,                0.64689,                 1.2738,              0.0087749,              0.0087749,              0.0087749
                    102,                0.95892,                0.92504,                 1.3473,                0.75868,                0.69852,                0.72764,                0.57949,                0.88875,                0.64621,                 1.2696,              0.0087625,              0.0087625,              0.0087625
                    103,                 0.9555,                 0.9426,                 1.3458,                0.74793,                0.71175,                0.73274,                0.57948,                 0.8909,                0.63949,                 1.2735,              0.0087501,              0.0087501,              0.0087501
                    104,                 0.9537,                0.92204,                 1.3444,                0.73889,                0.70352,                0.72903,                0.57611,                0.88857,                0.63977,                 1.2715,              0.0087378,              0.0087378,              0.0087378
                    105,                0.95294,                0.92479,                 1.3339,                0.75549,                0.69986,                0.72903,                0.57972,                0.88917,                0.64377,                 1.2705,              0.0087254,              0.0087254,              0.0087254
                    106,                0.95178,                0.90971,                 1.3396,                0.74793,                0.70472,                0.72943,                0.58099,                0.89506,                 0.6403,                 1.2687,               0.008713,               0.008713,               0.008713
                    107,                0.94808,                0.91907,                 1.3413,                 0.7685,                0.69719,                0.73106,                0.58114,                0.90101,                0.64555,                 1.2708,              0.0087006,              0.0087006,              0.0087006
                    108,                0.92943,                0.90055,                 1.3179,                0.77753,                0.68593,                 0.7336,                 0.5826,                0.89792,                0.64014,                 1.2716,              0.0086882,              0.0086882,              0.0086882
                    109,                0.93735,                0.89927,                 1.3291,                0.76415,                0.70048,                0.73656,                0.58348,                0.89302,                0.63098,                  1.267,              0.0086759,              0.0086759,              0.0086759
                    110,                0.93917,                0.89308,                 1.3308,                0.76796,                0.69041,                0.73399,                0.58293,                0.89236,                0.62503,                 1.2643,              0.0086635,              0.0086635,              0.0086635
                    111,                0.94467,                 0.9095,                 1.3337,                0.78313,                0.69172,                0.73868,                0.58484,                0.89117,                0.63054,                 1.2608,              0.0086511,              0.0086511,              0.0086511
                    112,                0.93142,                0.89638,                 1.3274,                0.76831,                0.70853,                0.73757,                0.58425,                0.89359,                0.63479,                 1.2668,              0.0086388,              0.0086388,              0.0086388
                    113,                0.94094,                0.89793,                  1.332,                0.77177,                0.69908,                0.73686,                0.58697,                0.88916,                0.63469,                 1.2622,              0.0086264,              0.0086264,              0.0086264
                    114,                0.93857,                0.88475,                 1.3234,                0.78659,                0.69074,                0.73561,                0.58567,                0.88696,                0.63143,                 1.2584,               0.008614,               0.008614,               0.008614
                    115,                0.94377,                0.90607,                 1.3358,                   0.76,                0.70188,                0.73489,                0.58333,                 0.8855,                0.62935,                 1.2587,              0.0086016,              0.0086016,              0.0086016
                    116,                0.93245,                0.89455,                 1.3255,                0.77224,                0.69677,                 0.7358,                0.58227,                0.88721,                0.62663,                 1.2616,              0.0085893,              0.0085893,              0.0085893
                    117,                0.92274,                0.87088,                  1.313,                0.78013,                0.69086,                0.73448,                0.58327,                0.88687,                 0.6228,                 1.2633,              0.0085769,              0.0085769,              0.0085769
                    118,                 0.9212,                0.87321,                 1.3173,                0.75631,                0.69012,                0.73525,                0.58485,                0.88487,                 0.6181,                 1.2588,              0.0085645,              0.0085645,              0.0085645
                    119,                0.92502,                0.88238,                 1.3133,                0.78781,                0.68438,                0.73404,                0.58552,                0.88356,                0.61746,                 1.2567,              0.0085521,              0.0085521,              0.0085521
                    120,                0.92989,                0.88851,                 1.3154,                0.77026,                0.69606,                0.73274,                0.58628,                0.88135,                0.61352,                 1.2559,              0.0085398,              0.0085398,              0.0085398
